gen,may_20,jun_20,jul_20,aug_20,sep_20,may_21,jun_21,jul_21,aug_21,sep_21,jun_22,jul_22,aug_22,sep_22,may_23,jun_23,jul_23,aug_23
63,0.973,0.574,0.502,0.447,0.129,0.437,0.169,0.335,0.322,0.089,0.647,0.522,0.197,0.468,0.799,0.306,0.254,0.099
64,0.728,0.593,0.489,0.447,0.108,0.444,0.201,0.304,0.322,0.094,0.607,0.33,0.179,0.368,0.541,0.213,0.25,0.117
65,0.765,0.744,0.56,0.343,0.144,0.474,0.131,0.298,0.315,0.07,0.589,0.403,0.137,0.363,0.855,0.203,0.169,0.178
66,0.556,0.592,0.465,0.5,0.097,0.383,0.145,0.24,0.155,0.08,0.446,0.292,0.187,0.279,0.749,0.256,0.24,0.088
67,0.63,0.837,0.588,0.408,0.142,0.37,0.138,0.239,0.29,0.113,0.493,0.193,0.138,0.232,0.581,0.157,0.148,0.098
68,0.863,0.689,0.572,0.315,0.166,0.497,0.202,0.362,0.292,0.138,0.956,0.461,0.224,0.44,0.966,0.212,0.167,0.116
69,0.53,0.57,0.314,0.303,0.054,0.284,0.096,0.223,0.22,0.068,0.383,0.255,0.144,0.27,0.658,0.247,0.143,0.116
70,0.76,0.609,0.587,0.386,0.095,0.451,0.13,0.222,0.188,0.069,0.406,0.38,0.142,0.205,0.706,0.172,0.212,0.134
72,0.553,0.575,0.469,0.444,0.129,0.536,0.183,0.265,0.393,0.144,0.808,0.407,0.24,0.44,0.869,0.278,0.36,0.153
74,0.663,0.477,0.441,0.157,0.11,0.504,0.173,0.24,0.332,0.11,0.54,0.27,0.181,0.42,0.532,0.251,0.192,0.164
76,1.411,1.274,0.848,0.584,0.192,0.401,0.221,0.325,0.27,0.03,1.772,0.52,0.309,0.543,1.199,0.314,0.387,0.089
77,0.558,0.484,0.443,0.285,0.118,0.364,0.129,0.265,0.26,0.028,0.673,0.315,0.172,0.332,0.573,0.305,0.24,0.124
79,0.465,0.423,0.373,0.28,0.065,0.393,0.102,0.264,0.266,0.06,0.269,0.245,0.149,0.23,0.515,0.216,0.179,0.1
81,0.645,0.722,0.385,0.401,0.086,0.504,0.175,0.262,0.325,0.09,0.531,0.47,0.233,0.391,0.74,0.328,0.177,0.165
82,0.691,0.636,0.437,0.41,0.082,0.463,0.168,0.276,0.328,0.141,0.574,0.324,0.156,0.335,0.577,0.208,0.22,0.129
83,0.834,0.653,0.502,0.261,0.063,0.394,0.16,0.259,0.214,0.079,0.721,0.35,0.139,0.285,0.663,0.288,0.254,0.21
85,0.581,0.591,0.532,0.383,0.077,0.402,0.137,0.214,0.311,0.108,0.574,0.33,0.263,0.4,0.62,0.271,0.261,0.125
87,0.729,0.669,0.555,0.338,0.081,0.417,0.159,0.243,0.267,0.04,0.599,0.423,0.169,0.421,0.697,0.256,0.217,0.083
88,0.646,0.684,0.452,0.325,0.088,0.38,0.14,0.222,0.272,0.085,0.414,0.276,0.158,0.348,0.485,0.201,0.151,0.145
89,0.318,0.457,0.438,0.254,0.057,0.176,0.062,0.087,0.102,0.025,0.264,0.134,0.068,0.147,0.286,0.107,0.101,0.08
90,0.456,0.595,0.396,0.368,0.071,0.369,0.135,0.2,0.26,0.018,0.347,0.235,0.067,0.252,0.513,0.114,0.14,0.059
92,0.653,0.501,0.73,0.378,0.052,0.4,0.154,0.257,0.252,0.044,0.496,0.239,0.153,0.256,0.482,0.158,0.13,0.171
93,0.574,0.518,0.446,0.349,0.07,0.423,0.104,0.28,0.293,0.103,0.621,0.223,0.206,0.408,0.774,0.256,0.183,0.14
94,0.616,0.562,0.48,0.316,0.108,0.475,0.085,0.229,0.364,0.149,0.75,0.452,0.153,0.333,0.693,0.189,0.168,0.191
95,0.606,0.585,0.558,0.341,0.1,0.426,0.105,0.143,0.196,0.06,0.539,0.311,0.151,0.218,0.649,0.162,0.048,0.072
96,0.689,0.647,0.682,0.521,0.126,0.658,0.133,0.266,0.311,0.126,1.046,0.515,0.202,0.342,1.001,0.233,0.133,0.085
97,0.543,0.551,0.376,0.448,0.082,0.402,0.065,0.214,0.234,0.064,0.494,0.331,0.119,0.25,0.739,0.201,0.163,0.075
98,0.706,0.639,0.541,0.424,0.099,0.352,0.157,0.244,0.265,0.04,0.745,0.419,0.2,0.427,0.777,0.301,0.319,0.14
100,0.573,0.654,0.527,0.379,0.159,0.413,0.095,0.236,0.34,0.091,0.505,0.297,0.145,0.349,0.887,0.225,0.159,0.103
101,0.658,0.662,0.533,0.473,0.082,0.463,0.2,0.266,0.318,0.104,0.802,0.436,0.194,0.414,0.58,0.252,0.221,0.187
104,0.634,0.718,0.536,0.377,0.079,0.501,0.164,0.308,0.294,0.059,0.601,0.358,0.182,0.502,0.635,0.259,0.222,0.146
107,0.633,0.827,0.504,0.282,0.062,0.54,0.173,0.26,0.274,0.037,0.653,0.348,0.157,0.356,0.727,0.267,0.269,0.104
108,0.749,0.585,0.422,0.325,0.106,0.341,0.098,0.189,0.19,0.037,0.421,0.387,0.205,0.265,0.553,0.216,0.181,0.145
111,0.744,0.58,0.466,0.361,0.07,0.529,0.173,0.288,0.284,0.087,0.601,0.284,0.198,0.403,0.632,0.245,0.255,0.139
112,0.518,0.536,0.434,0.402,0.165,0.512,0.184,0.308,0.391,0.072,0.752,0.466,0.193,0.313,0.605,0.166,0.18,0.114
113,0.604,0.62,0.478,0.396,0.108,0.42,0.16,0.213,0.284,0.081,0.66,0.314,0.133,0.246,0.748,0.183,0.241,0.071
115,0.778,0.555,0.425,0.42,0.126,0.346,0.114,0.214,0.232,0.053,0.444,0.278,0.119,0.288,0.612,0.175,0.087,0.087
116,0.772,0.644,0.382,0.365,0.093,0.59,0.173,0.362,0.413,0.191,0.6,0.414,0.202,0.399,0.873,0.233,0.247,0.179
117,0.781,0.603,0.574,0.484,0.076,0.389,0.179,0.294,0.422,0.048,0.638,0.458,0.172,0.368,0.846,0.301,0.215,0.123
118,0.479,0.514,0.47,0.311,0.057,0.368,0.105,0.238,0.239,0.05,0.431,0.342,0.139,0.325,0.667,0.243,0.141,0.117
119,0.73,0.748,0.892,0.485,0.207,0.423,0.12,0.401,0.327,0.088,0.954,0.369,0.165,0.418,0.831,0.27,0.291,0.085
120,0.585,0.552,0.369,0.549,0.095,0.385,0.141,0.239,0.306,0.071,0.665,0.474,0.198,0.447,1.564,0.456,0.228,0.159
121,0.895,0.951,0.775,0.616,0.105,0.574,0.206,0.357,0.368,0.099,0.841,0.429,0.213,0.484,0.699,0.373,0.33,0.176
123,0.648,0.576,0.569,0.535,0.104,0.379,0.176,0.279,0.28,0.09,0.44,0.345,0.262,0.384,0.66,0.312,0.187,0.131
124,0.638,0.778,0.443,0.376,0.096,0.344,0.122,0.234,0.349,0.077,0.621,0.398,0.218,0.31,0.55,0.184,0.196,0.153
125,0.6,0.533,0.612,0.378,0.083,0.244,0.138,0.2,0.254,0.058,0.348,0.273,0.134,0.294,0.517,0.199,0.118,0.103
126,0.806,0.633,0.505,0.424,0.099,0.524,0.179,0.307,0.279,0.095,0.606,0.372,0.21,0.42,0.766,0.343,0.223,0.139
128,0.731,0.639,0.517,0.401,0.152,0.399,0.202,0.271,0.262,0.035,0.513,0.276,0.148,0.157,0.537,0.215,0.175,0.219
129,0.544,0.476,0.399,0.335,0.094,0.369,0.107,0.23,0.265,0.073,0.394,0.255,0.163,0.361,0.659,0.302,0.15,0.111
130,0.582,0.61,0.567,0.346,0.09,0.312,0.103,0.209,0.252,0.07,0.46,0.254,0.115,0.254,0.595,0.187,0.166,0.104
131,0.566,0.445,0.353,0.299,0.111,0.355,0.156,0.186,0.263,0.051,0.522,0.227,0.105,0.283,0.461,0.14,0.151,0.1
133,0.588,0.685,0.545,0.34,0.127,0.345,0.112,0.279,0.243,0.039,0.493,0.315,0.134,0.291,0.624,0.174,0.202,0.114
134,0.65,0.57,0.462,0.376,0.079,0.268,0.131,0.15,0.178,0.01,0.618,0.234,0.158,0.258,0.6,0.139,0.152,0.112
135,0.793,0.674,0.442,0.395,0.079,0.421,0.174,0.3,0.255,0.119,0.626,0.405,0.167,0.406,0.716,0.286,0.287,0.132
138,0.642,0.806,0.598,0.428,0.075,0.471,0.149,0.252,0.311,0.06,0.665,0.338,0.16,0.279,0.667,0.191,0.12,0.106
140,0.816,0.774,0.715,0.369,0.089,0.481,0.23,0.354,0.399,0.062,0.661,0.41,0.187,0.392,0.769,0.149,0.166,0.147
141,1.005,0.807,0.528,0.402,0.108,0.49,0.15,0.34,0.383,0.084,0.627,0.488,0.195,0.441,0.843,0.343,0.263,0.203
143,0.667,0.565,0.468,0.345,0.092,0.451,0.145,0.265,0.323,0.103,0.444,0.357,0.213,0.388,0.698,0.232,0.218,0.127
144,0.446,0.634,0.613,0.365,0.073,0.406,0.131,0.279,0.279,0.045,0.464,0.246,0.075,0.21,0.466,0.216,0.129,0.098
145,0.705,0.544,0.36,0.394,0.101,0.392,0.104,0.146,0.122,0.03,0.71,0.263,0.156,0.312,0.765,0.345,0.204,0.151
146,0.57,0.742,0.595,0.447,0.147,0.533,0.135,0.312,0.289,0.067,0.579,0.426,0.187,0.387,0.864,0.156,0.267,0.132
147,0.746,0.594,0.557,0.516,0.082,0.454,0.149,0.271,0.298,0.09,0.539,0.281,0.19,0.367,0.82,0.272,0.268,0.156
149,0.55,0.669,0.504,0.488,0.098,0.491,0.168,0.31,0.336,0.079,0.875,0.423,0.237,0.374,0.832,0.341,0.188,0.14
150,0.785,0.925,0.583,0.362,0.103,0.364,0.1,0.369,0.357,0.096,0.869,0.366,0.261,0.507,0.873,0.293,0.234,0.295
151,0.908,0.721,0.613,0.328,0.11,0.343,0.036,0.111,0.157,0.045,1.203,NA,0.206,0.285,0.983,0.033,0.044,0.152
152,0.737,0.596,0.639,0.491,0.125,0.323,0.149,0.296,0.235,0.112,0.441,0.28,0.214,0.405,0.714,0.357,0.232,0.273
153,0.484,0.586,0.462,0.31,0.104,0.325,0.095,0.245,0.239,0.068,0.45,0.215,0.132,0.281,0.67,0.165,0.179,0.168
155,0.474,0.469,0.511,0.364,0.045,0.283,0.046,0.098,0.131,0.046,0.59,0.261,0.117,0.255,0.486,0.135,0.098,0.059
156,0.713,0.886,0.569,0.429,0.122,0.388,0.125,0.25,0.192,0.075,0.416,0.304,0.107,0.17,0.589,0.23,0.113,0.106
157,0.518,0.565,0.449,0.482,0.119,0.372,0.136,0.214,0.24,0.055,0.484,0.29,0.137,0.229,0.636,0.236,0.264,0.129
158,0.752,0.693,0.417,0.506,0.099,0.558,0.15,0.315,0.324,0.081,0.692,0.358,0.178,0.374,0.684,0.209,0.186,0.247
160,0.813,0.603,0.662,0.3,0.128,0.404,0.121,0.253,0.302,0.067,0.495,0.363,0.207,0.416,0.666,0.131,0.242,0.116
161,0.735,0.686,0.752,0.4,0.126,0.511,0.15,0.315,0.352,0.076,0.701,0.561,0.325,0.483,0.909,0.397,0.283,0.163
163,0.753,0.782,0.635,0.763,0.147,0.718,0.176,0.321,0.38,0.055,1.128,0.429,0.269,0.383,1.136,0.235,0.187,0.167
164,0.776,0.44,0.486,0.25,0.135,0.392,0.163,0.242,0.241,0.057,0.606,0.531,0.288,0.333,0.685,0.243,0.301,0.167
166,0.856,0.683,0.577,0.443,0.075,0.532,0.212,0.344,0.317,0.062,0.716,0.456,0.225,0.409,0.636,0.266,0.226,0.178
168,0.776,0.718,0.567,0.502,0.144,0.544,0.129,0.299,0.359,0.111,0.717,0.525,0.161,0.339,0.989,0.277,0.268,0.264
169,0.47,0.824,0.462,0.556,0.058,0.442,0.125,0.281,0.295,0.135,1.133,0.385,0.222,0.331,0.552,0.205,0.263,0.159
170,0.623,0.608,0.541,0.411,0.091,0.433,0.105,0.369,0.288,0.056,0.731,0.399,0.131,0.352,0.799,0.218,0.103,0.084
172,0.432,0.436,0.195,0.339,0.075,0.253,0.081,0.138,0.182,0.059,0.526,0.149,0.135,0.213,0.35,0.12,0.062,0.115
173,0.682,0.548,0.475,0.382,0.133,0.344,0.142,0.35,0.25,0.062,0.686,0.419,0.193,0.22,0.625,0.132,0.053,0.094
175,0.49,0.706,0.438,0.401,0.1,0.233,0.176,0.266,0.293,0.048,0.391,0.366,0.089,0.314,0.538,0.169,0.164,0.077
176,0.524,0.568,0.48,0.306,0.085,0.184,0.065,0.148,0.166,0.05,0.365,0.201,0.104,0.161,0.282,0.14,0.231,0.101
178,0.745,0.624,0.455,0.433,0.103,0.355,0.11,0.228,0.293,0.067,0.635,0.351,0.152,0.359,0.619,0.259,0.168,0.067
183,0.7,0.998,0.733,0.496,0.157,0.515,0.276,0.367,0.415,0.136,0.949,0.511,0.273,0.448,0.975,0.471,0.335,0.212
184,0.746,0.672,0.531,0.468,0.101,0.415,0.147,0.304,0.316,0.073,0.868,0.401,0.278,0.521,0.775,0.187,0.21,0.159
186,0.993,1.175,0.692,0.668,0.237,0.633,0.288,0.266,0.401,0.185,1.043,0.829,0.709,0.74,0.497,0.346,0.27,0.066
187,0.764,0.772,0.526,0.562,0.121,0.671,0.286,0.371,0.446,0.102,0.75,0.483,0.243,0.155,0.599,0.255,0.362,0.183
188,0.623,0.72,0.531,0.468,0.099,0.453,0.16,0.277,0.294,0.092,0.657,0.349,0.198,0.416,0.832,0.294,0.258,0.206
189,0.72,0.729,0.525,0.425,0.078,0.575,0.172,0.288,0.34,0.122,0.647,0.457,0.167,0.351,0.739,0.268,0.227,0.127
190,0.658,0.762,0.612,0.446,0.16,0.38,0.152,0.275,0.301,0.11,0.609,0.432,0.225,0.387,0.627,0.301,0.251,0.181
191,0.498,0.609,0.466,0.525,0.112,0.265,0.143,0.182,0.115,0.051,0.521,0.307,0.219,0.314,0.63,0.288,0.161,0.135
193,0.582,0.566,0.665,0.436,0.102,0.411,0.146,0.258,0.129,0.025,0.73,0.304,0.257,0.403,0.646,0.196,0.227,0.116
194,0.485,0.585,0.525,0.326,0.112,0.428,0.149,0.215,0.278,0.133,0.591,0.39,0.192,0.348,0.608,0.185,0.166,0.124
195,0.703,0.801,0.801,0.538,0.237,0.477,0.142,0.272,0.237,0.122,0.702,0.418,0.221,0.337,0.65,0.318,0.247,0.216
196,0.602,0.696,0.564,0.486,0.105,0.413,0.154,0.275,0.24,0.106,0.597,0.431,0.191,0.366,0.572,0.194,0.212,0.097
198,0.678,0.658,0.481,0.318,0.127,0.403,0.1,0.236,0.255,0.053,0.496,0.344,0.139,0.286,0.695,0.144,0.15,0.128
199,0.481,1.031,0.527,0.558,0.086,0.304,0.138,0.213,0.105,0.041,1.016,0.664,0.376,0.446,1.021,0.41,0.388,0.097
200,0.544,0.62,0.597,0.411,0.112,0.387,0.136,0.266,0.372,0.097,0.762,0.441,0.254,0.185,0.714,0.215,0.154,0.183
201,0.48,0.499,0.554,0.368,0.107,0.381,0.094,0.184,0.21,0.05,0.413,0.273,0.125,0.154,0.518,0.176,0.106,0.103
204,0.611,0.58,0.643,0.316,0.093,0.392,0.138,0.231,0.284,0.074,0.675,0.333,0.205,0.312,0.817,0.395,0.094,0.173
206,0.433,0.535,0.43,0.417,0.071,0.413,0.126,0.191,0.246,0.081,0.41,0.257,0.156,0.224,0.544,0.236,0.144,0.074
207,0.545,0.52,0.339,0.402,0.07,0.367,0.089,0.282,0.256,0.07,0.816,0.317,0.159,0.299,0.497,0.216,0.207,0.158
208,0.434,0.461,0.564,0.411,0.093,0.373,0.146,0.214,0.136,0.094,0.685,0.23,0.107,0.3,0.723,0.168,0.296,0.149
210,0.579,0.55,0.463,0.254,0.078,0.302,0.098,0.236,0.195,0.044,0.44,0.171,0.096,0.191,0.532,0.158,0.174,0.124
211,0.516,0.402,0.401,0.265,0.092,0.36,0.179,0.245,0.272,0.079,0.426,0.273,0.132,0.358,0.642,0.259,0.179,0.192
212,0.498,0.383,0.822,0.489,0.112,0.405,0.189,0.287,0.267,0.117,0.656,0.277,0.138,0.203,0.611,0.114,0.134,0.154
213,0.563,0.58,0.506,0.359,0.125,0.397,0.103,0.173,0.297,0.047,0.709,0.338,0.129,0.318,0.572,0.17,0.096,0.158
214,0.786,0.847,0.46,0.326,0.109,0.448,0.162,0.243,0.327,0.085,0.591,0.427,0.172,0.396,0.576,0.29,0.151,0.112
215,0.508,0.493,0.406,0.362,0.129,0.415,0.133,0.214,0.202,0.033,0.483,0.22,0.103,0.299,0.488,0.18,0.178,0.087
217,0.601,0.593,0.529,0.441,0.109,0.478,0.137,0.231,0.258,0.107,0.575,0.388,0.206,0.333,0.419,0.229,0.236,0.147
218,0.759,0.644,0.718,0.394,0.179,0.348,0.12,0.342,0.313,0.086,1.276,0.402,0.228,0.384,0.778,0.273,0.152,0.13
219,0.643,0.628,0.47,0.459,0.124,0.454,0.099,0.279,0.254,0.045,0.435,0.342,0.199,0.195,0.472,0.16,0.196,0.054
220,0.546,0.786,0.554,NA,NA,0.309,0.143,0.278,0.179,0.09,0.554,0.132,0.107,0.166,0.379,0.277,0.242,0.14
223,0.606,0.534,0.443,0.304,0.076,0.402,0.13,0.249,0.242,0.072,0.442,0.394,0.187,0.371,0.669,0.305,0.263,0.174
224,1.085,0.573,0.423,0.497,0.097,0.507,0.186,0.241,0.335,0.095,0.83,0.308,0.169,0.385,0.685,0.32,0.242,0.091
225,0.853,0.67,0.436,0.343,0.108,0.47,0.141,0.185,0.262,0.078,0.589,0.348,0.164,0.323,0.75,0.253,0.218,0.171
226,0.568,0.645,0.474,0.306,0.068,0.34,0.1,0.229,0.276,0.083,0.522,0.245,0.143,0.222,0.512,0.257,0.225,0.052
227,0.569,0.65,0.405,0.375,0.103,0.47,0.148,0.307,0.262,0.142,0.721,0.357,0.131,0.286,0.687,0.416,0.261,0.143
229,0.897,0.87,0.669,0.516,0.3,0.386,0.085,0.171,0.266,0.069,2.71,0.465,0.247,0.225,0.477,0.08,0.096,0.189
230,0.924,1.011,0.615,0.495,0.153,0.555,0.21,0.566,0.349,0.068,0.855,0.407,0.172,0.287,0.816,0.278,0.166,0.11
231,0.787,0.474,0.433,0.523,0.127,0.395,0.138,0.29,0.164,0.049,1.108,0.441,0.156,0.304,0.577,0.149,0.164,0.102
232,0.619,0.634,0.551,0.381,0.121,0.45,0.089,0.218,0.378,0.117,0.735,0.312,0.221,0.354,0.723,0.285,0.272,0.187
233,0.98,0.913,0.778,0.546,0.143,0.259,0.15,0.405,0.322,0.081,0.352,0.191,0.135,0.378,0.456,0.27,0.214,0.158
234,0.639,0.673,0.485,0.49,0.115,0.392,0.137,0.221,0.276,0.064,0.639,0.178,0.124,0.243,0.632,0.15,0.199,0.06
235,0.771,0.588,0.562,0.46,0.109,0.54,0.132,0.28,0.307,0.099,0.466,0.344,0.174,0.364,0.707,0.241,0.277,0.079
236,0.536,0.429,0.429,0.229,0.067,0.344,0.101,0.204,0.202,0.074,0.519,0.225,0.142,0.269,0.461,0.187,0.234,0.102
238,0.322,0.295,0.363,0.319,0.121,0.268,0.123,0.187,0.199,0.041,0.504,0.279,0.161,0.338,0.582,0.215,0.121,0.079
239,0.504,0.446,0.428,0.339,0.038,0.29,0.04,0.119,0.129,0.146,1.121,NA,0.078,0.167,0.307,0.137,0.104,0.055
240,0.367,0.383,0.29,0.203,0.115,0.335,0.107,0.156,0.184,0.06,0.78,0.449,0.154,NA,0.429,0.18,0.131,0.122
241,0.692,0.476,0.438,0.516,0.108,0.34,0.137,0.267,0.254,0.061,0.475,0.355,0.162,0.181,0.484,0.194,0.159,0.15
242,0.594,0.588,0.385,0.357,0.12,0.447,0.13,0.217,0.167,0.047,1.117,0.627,0.34,0.404,0.83,0.538,0.258,0.197
243,0.625,0.541,0.506,0.35,0.075,0.508,0.142,0.294,0.228,0.059,0.479,0.391,0.214,0.369,0.681,0.264,0.244,0.198
244,0.903,0.835,0.666,0.36,0.147,0.358,0.142,0.381,0.257,0.081,0.715,0.662,0.305,0.619,0.742,0.173,0.448,0.185
245,0.628,0.495,0.38,0.354,0.104,0.451,0.129,0.248,0.239,0.063,0.57,0.303,0.167,0.342,0.691,0.206,0.207,0.121
247,0.511,0.673,0.678,0.422,0.123,0.512,0.178,0.33,0.261,0.089,0.702,0.355,0.191,0.328,0.631,0.243,0.184,0.181
248,0.727,0.739,0.488,0.394,0.092,0.451,0.141,0.261,0.335,0.086,0.633,0.404,0.179,0.232,0.698,0.215,0.188,0.116
249,0.65,0.51,0.504,0.441,0.101,0.473,0.171,0.309,0.375,0.083,0.583,0.46,0.194,0.411,0.737,0.218,0.205,0.127
